% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	0	1	4518.08	0
0.322	1	0	2	2622.41	0
0.641	1	0	1	4518.08	0
0.642	1	0	2	2622.41	0
0.961	1	0	1	4518.08	0
0.962	1	0	2	2622.41	0
1.281	1	0	1	4518.08	0
1.282	1	0	2	2622.41	0
1.601	1	0	1	4518.08	0
1.602	1	0	2	2622.41	0
1.921	1	0	1	4518.08	0
1.922	1	0	2	2622.41	0
2.241	1	0	1	4518.08	0
2.242	1	0	2	2622.41	0
2.561	1	0	1	4518.08	0
2.562	1	0	2	2622.41	0
2.881	1	0	1	4518.08	0
2.882	1	0	2	2622.41	0
3.201	1	0	1	4518.08	0
3.202	1	0	2	2622.41	0
3.521	1	0	1	4518.08	0
3.522	1	0	2	2622.41	0
3.841	1	0	1	4518.08	0
3.842	1	0	2	2622.41	0
4.161	1	0	1	4518.08	0
4.162	1	0	2	2622.41	0
4.481	1	0	1	4518.08	0
4.482	1	0	2	2622.41	0
4.801	1	0	1	4518.08	0
4.802	1	0	2	2622.41	0
5.121	1	0	1	4518.08	0
5.122	1	0	2	2622.41	0
5.441	1	0	1	4518.08	0
5.442	1	0	2	2622.41	0
5.761	1	0	1	4518.08	0
5.762	1	0	2	2622.41	0
6.081	1	0	1	4518.08	0
6.082	1	0	2	2622.41	0
6.401	1	0	1	4518.08	0
6.402	1	0	2	2622.41	0
6.721	1	0	1	4518.08	0
6.722	1	0	2	2622.41	0
7.041	1	0	1	4518.08	0
7.042	1	0	2	2622.41	0
7.361	1	0	1	4518.08	0
7.362	1	0	2	2622.41	0
7.681	1	0	1	4518.08	0
7.682	1	0	2	2622.41	0
8.001	1	0	1	4518.08	0
8.002	1	0	2	2622.41	0
8.321	1	0	1	4518.08	0
8.322	1	0	2	2622.41	0
8.641	1	0	1	4518.08	0
8.642	1	0	2	2622.41	0
8.961	1	0	1	4518.08	0
8.962	1	0	2	2622.41	0
9.281	1	0	1	4518.08	0
9.282	1	0	2	2622.41	0
9.601	1	0	1	4518.08	0
9.602	1	0	2	2622.41	0
9.921	1	0	1	4518.08	0
9.922	1	0	2	2622.41	0
10.241	1	0	1	4518.08	0
10.242	1	0	2	2622.41	0
10.561	1	0	1	4518.08	0
10.562	1	0	2	2622.41	0
10.881	1	0	1	4518.08	0
10.882	1	0	2	2622.41	0
11.201	1	0	1	4518.08	0
11.202	1	0	2	2622.41	0
11.521	1	0	1	4518.08	0
11.522	1	0	2	2622.41	0
11.841	1	0	1	4518.08	0
11.842	1	0	2	2622.41	0
12.161	1	0	1	4518.08	0
12.162	1	0	2	2622.41	0
12.481	1	0	1	4518.08	0
12.482	1	0	2	2622.41	0
12.801	1	0	1	4518.08	0
12.802	1	0	2	2622.41	0
13.121	1	0	1	4518.08	0
13.122	1	0	2	2622.41	0
13.441	1	0	1	4518.08	0
13.442	1	0	2	2622.41	0
13.761	1	0	1	4518.08	0
13.762	1	0	2	2622.41	0
14.081	1	0	1	4518.08	0
14.082	1	0	2	2622.41	0
14.401	1	0	1	4518.08	0
14.402	1	0	2	2622.41	0
14.721	1	0	1	4518.08	0
14.722	1	0	2	2622.41	0
15.041	1	0	1	4518.08	0
15.042	1	0	2	2622.41	0
15.361	1	0	1	4518.08	0
15.362	1	0	2	2622.41	0
15.681	1	0	1	4518.08	0
15.682	1	0	2	2622.41	0
16.001	1	0	1	4518.08	0
16.002	1	0	2	2622.41	0
16.321	1	0	1	4518.08	0
16.322	1	0	2	2622.41	0
16.641	1	0	1	4518.08	0
16.642	1	0	2	2622.41	0
16.961	1	0	1	4518.08	0
16.962	1	0	2	2622.41	0
17.281	1	0	1	4518.08	0
17.282	1	0	2	2622.41	0
17.601	1	0	1	4518.08	0
17.602	1	0	2	2622.41	0
17.921	1	0	1	4518.08	0
17.922	1	0	2	2622.41	0
18.241	1	0	1	4518.08	0
18.242	1	0	2	2622.41	0
18.561	1	0	1	4518.08	0
18.562	1	0	2	2622.41	0
18.881	1	0	1	4518.08	0
18.882	1	0	2	2622.41	0
19.201	1	0	1	4518.08	0
19.202	1	0	2	2622.41	0
19.521	1	0	1	4518.08	0
19.522	1	0	2	2622.41	0
19.841	1	0	1	4518.08	0
19.842	1	0	2	2622.41	0
