timestamp,ueImsiComplete,numActiveUes,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),enbdev (m_cellId),UE (imsi),sameCellSinr,sameCellSinr 3gpp encoded,L3 neigh Id (cellId),sinr,3gpp encoded sinr (convertedSinr)
1732415047810,00002,2,1,0,,,,,,,
1732415047810,00001,2,1,0,,,,,,,
1732415047910,00002,2,1,0,,,,,,,
1732415047910,00001,2,1,0,,,,,,,
1732415048010,00002,2,1,0,,,,,,,
1732415048010,00001,2,1,0,,,,,,,
1732415048110,00002,2,1,0,,,,,,,
1732415048110,00001,2,1,0,,,,,,,
1732415048210,00002,2,1,0,,,,,,,
1732415048210,00001,2,1,0,,,,,,,
1732415048310,00002,2,1,0,,,,,,,
1732415048310,00001,2,1,0,,,,,,,
1732415048410,00002,2,1,0,,,,,,,
1732415048410,00001,2,1,0,,,,,,,
1732415048510,00002,2,1,0,,,,,,,
1732415048510,00001,2,1,0,,,,,,,
1732415048610,00002,2,1,0,,,,,,,
1732415048610,00001,2,1,0,,,,,,,
1732415048710,00002,2,1,0,,,,,,,
1732415048710,00001,2,1,0,,,,,,,
1732415048810,00002,2,1,0,,,,,,,
1732415048810,00001,2,1,0,,,,,,,
1732415048910,00002,2,1,0,,,,,,,
1732415048910,00001,2,1,0,,,,,,,
1732415049010,00002,2,1,0,,,,,,,
1732415049010,00001,2,1,0,,,,,,,
1732415049110,00002,2,1,0,,,,,,,
1732415049110,00001,2,1,0,,,,,,,
1732415049210,00002,2,1,0,,,,,,,
1732415049210,00001,2,1,0,,,,,,,
1732415049310,00002,2,1,0,,,,,,,
1732415049310,00001,2,1,0,,,,,,,
1732415049410,00002,2,1,0,,,,,,,
1732415049410,00001,2,1,0,,,,,,,
1732415049510,00002,2,1,0,,,,,,,
1732415049510,00001,2,1,0,,,,,,,
1732415049610,00002,2,1,0,,,,,,,
1732415049610,00001,2,1,0,,,,,,,
1732415049710,00002,2,1,0,,,,,,,
1732415049710,00001,2,1,0,,,,,,,
1732415049810,00002,2,1,0,,,,,,,
1732415049810,00001,2,1,0,,,,,,,
1732415049910,00002,2,1,0,,,,,,,
1732415049910,00001,2,1,0,,,,,,,
1732415050010,00002,2,1,0,,,,,,,
1732415050010,00001,2,1,0,,,,,,,
1732415050110,00002,2,1,0,,,,,,,
1732415050110,00001,2,1,0,,,,,,,
1732415050210,00002,2,1,0,,,,,,,
1732415050210,00001,2,1,0,,,,,,,
1732415050310,00002,2,1,0,,,,,,,
1732415050310,00001,2,1,0,,,,,,,
1732415050410,00002,2,1,0,,,,,,,
1732415050410,00001,2,1,0,,,,,,,
1732415050510,00002,2,1,0,,,,,,,
1732415050510,00001,2,1,0,,,,,,,
1732415050610,00002,2,1,0,,,,,,,
1732415050610,00001,2,1,0,,,,,,,
1732415050710,00002,2,1,0,,,,,,,
1732415050710,00001,2,1,0,,,,,,,
1732415050810,00002,2,1,0,,,,,,,
1732415050810,00001,2,1,0,,,,,,,
1732415050910,00002,2,1,0,,,,,,,
1732415050910,00001,2,1,0,,,,,,,
1732415051010,00002,2,1,0,,,,,,,
1732415051010,00001,2,1,0,,,,,,,
1732415051110,00002,2,1,0,,,,,,,
1732415051110,00001,2,1,0,,,,,,,
1732415051210,00002,2,1,0,,,,,,,
1732415051210,00001,2,1,0,,,,,,,
1732415051310,00002,2,1,0,,,,,,,
1732415051310,00001,2,1,0,,,,,,,
1732415051410,00002,2,1,0,,,,,,,
1732415051410,00001,2,1,0,,,,,,,
1732415051510,00002,2,1,0,,,,,,,
1732415051510,00001,2,1,0,,,,,,,
1732415051610,00002,2,1,0,,,,,,,
1732415051610,00001,2,1,0,,,,,,,
1732415051710,00002,2,1,0,,,,,,,
1732415051710,00001,2,1,0,,,,,,,
1732415051810,00002,2,1,0,,,,,,,
1732415051810,00001,2,1,0,,,,,,,
1732415051910,00002,2,1,0,,,,,,,
1732415051910,00001,2,1,0,,,,,,,
1732415052010,00002,2,1,0,,,,,,,
1732415052010,00001,2,1,0,,,,,,,
1732415052110,00002,2,1,0,,,,,,,
1732415052110,00001,2,1,0,,,,,,,
1732415052210,00002,2,1,0,,,,,,,
1732415052210,00001,2,1,0,,,,,,,
1732415052310,00002,2,1,0,,,,,,,
1732415052310,00001,2,1,0,,,,,,,
1732415052410,00002,2,1,0,,,,,,,
1732415052410,00001,2,1,0,,,,,,,
1732415052510,00002,2,1,0,,,,,,,
1732415052510,00001,2,1,0,,,,,,,
1732415052610,00002,2,1,0,,,,,,,
1732415052610,00001,2,1,0,,,,,,,
1732415052710,00002,2,1,0,,,,,,,
1732415052710,00001,2,1,0,,,,,,,
1732415052810,00002,2,1,0,,,,,,,
1732415052810,00001,2,1,0,,,,,,,
1732415052910,00002,2,1,0,,,,,,,
1732415052910,00001,2,1,0,,,,,,,
1732415053010,00002,2,1,0,,,,,,,
1732415053010,00001,2,1,0,,,,,,,
1732415053110,00002,2,1,0,,,,,,,
1732415053110,00001,2,1,0,,,,,,,
1732415053210,00002,2,1,0,,,,,,,
1732415053210,00001,2,1,0,,,,,,,
1732415053310,00002,2,1,0,,,,,,,
1732415053310,00001,2,1,0,,,,,,,
1732415053410,00002,2,1,0,,,,,,,
1732415053410,00001,2,1,0,,,,,,,
1732415053510,00002,2,1,0,,,,,,,
1732415053510,00001,2,1,0,,,,,,,
1732415053610,00002,2,1,0,,,,,,,
1732415053610,00001,2,1,0,,,,,,,
1732415053710,00002,2,1,0,,,,,,,
1732415053710,00001,2,1,0,,,,,,,
1732415053810,00002,2,1,0,,,,,,,
1732415053810,00001,2,1,0,,,,,,,
1732415053910,00002,2,1,0,,,,,,,
1732415053910,00001,2,1,0,,,,,,,
1732415054010,00002,2,1,0,,,,,,,
1732415054010,00001,2,1,0,,,,,,,
1732415054110,00002,2,1,0,,,,,,,
1732415054110,00001,2,1,0,,,,,,,
1732415054210,00002,2,1,0,,,,,,,
