timestamp,ueImsiComplete,numActiveUes,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1732415047993,00002,1,0,0,3,2,31.382877,110.000000,4,28.419047,104.000000,2,26.814623,100.000000,5,24.590998,96.000000,,,,,,,,,,,,,,,
1732415048093,00002,1,0,0,3,2,30.934238,109.000000,4,28.951827,105.000000,5,24.473468,96.000000,2,23.255113,93.000000,,,,,,,,,,,,,,,
1732415048193,00002,1,0,0,3,2,31.878910,111.000000,4,29.244262,105.000000,5,26.172759,99.000000,2,24.312961,95.000000,,,,,,,,,,,,,,,
1732415048293,00002,1,0,0,3,2,32.652287,112.000000,2,27.887401,103.000000,4,27.705785,102.000000,5,25.404431,98.000000,,,,,,,,,,,,,,,
1732415048393,00002,1,0,0,3,2,32.570144,112.000000,4,31.472905,110.000000,5,27.243915,101.000000,2,24.922077,97.000000,,,,,,,,,,,,,,,
1732415048493,00002,1,0,0,3,2,32.109509,111.000000,4,27.728739,102.000000,2,25.419494,98.000000,5,21.762309,90.000000,,,,,,,,,,,,,,,
1732415048593,00002,1,0,0,3,2,31.739844,110.000000,4,29.726126,106.000000,2,25.912814,99.000000,5,24.942816,97.000000,,,,,,,,,,,,,,,
1732415048693,00002,1,0,0,3,2,31.817555,111.000000,4,28.664697,104.000000,2,25.344750,97.000000,5,22.835666,92.000000,,,,,,,,,,,,,,,
1732415048793,00002,1,0,0,3,2,31.100609,109.000000,4,27.275659,101.000000,2,24.961294,97.000000,5,19.871700,86.000000,,,,,,,,,,,,,,,
1732415048893,00002,1,0,0,3,2,30.886487,109.000000,4,25.286586,97.000000,2,24.965894,97.000000,5,24.669626,96.000000,,,,,,,,,,,,,,,
1732415048993,00002,1,0,0,3,2,34.667331,116.000000,5,25.696138,98.000000,2,25.578026,98.000000,4,24.854464,96.000000,,,,,,,,,,,,,,,
1732415049093,00002,1,0,0,3,2,31.573290,110.000000,4,29.293791,105.000000,2,26.410702,100.000000,5,25.261367,97.000000,,,,,,,,,,,,,,,
1732415049193,00002,1,0,0,3,2,31.796543,110.000000,4,26.894505,101.000000,2,25.544720,98.000000,5,24.672425,96.000000,,,,,,,,,,,,,,,
1732415049293,00002,1,0,0,3,2,33.149493,113.000000,4,28.186109,103.000000,5,24.716620,96.000000,2,19.621606,86.000000,,,,,,,,,,,,,,,
1732415049393,00002,1,0,0,3,2,31.776716,110.000000,4,29.112383,105.000000,2,25.499283,98.000000,5,24.484490,96.000000,,,,,,,,,,,,,,,
1732415049493,00002,1,0,0,3,2,30.727207,108.000000,4,29.390539,106.000000,5,25.141021,97.000000,2,19.740826,86.000000,,,,,,,,,,,,,,,
1732415049593,00002,1,0,0,3,2,32.912045,113.000000,4,27.154900,101.000000,2,25.891482,99.000000,5,24.453559,96.000000,,,,,,,,,,,,,,,
1732415049693,00002,1,0,0,3,2,31.657075,110.000000,4,28.313441,103.000000,2,25.065795,97.000000,5,24.698200,96.000000,,,,,,,,,,,,,,,
1732415049793,00002,1,0,0,3,2,32.679254,112.000000,4,28.294180,103.000000,2,26.246333,99.000000,5,24.167554,95.000000,,,,,,,,,,,,,,,
1732415049893,00002,1,0,0,3,2,32.200297,111.000000,4,28.308071,103.000000,5,25.180117,97.000000,2,23.786780,94.000000,,,,,,,,,,,,,,,
1732415049993,00002,1,0,0,3,2,31.342541,110.000000,4,29.462671,106.000000,5,26.055097,99.000000,2,24.910066,97.000000,,,,,,,,,,,,,,,
1732415050093,00002,1,0,0,3,2,31.493872,110.000000,4,28.746453,104.000000,5,26.751749,100.000000,2,25.665390,98.000000,,,,,,,,,,,,,,,
1732415050193,00002,1,0,0,3,2,32.879040,113.000000,4,28.703285,104.000000,2,26.681505,100.000000,5,25.736196,98.000000,,,,,,,,,,,,,,,
1732415050293,00002,1,0,0,3,2,31.921081,111.000000,4,29.594365,106.000000,5,24.372560,95.000000,2,23.180877,93.000000,,,,,,,,,,,,,,,
1732415050393,00002,1,0,0,3,2,32.010037,111.000000,4,29.379023,106.000000,2,26.285511,99.000000,5,25.240624,97.000000,,,,,,,,,,,,,,,
1732415050493,00002,1,0,0,3,2,32.583452,112.000000,4,27.679599,102.000000,2,25.226157,97.000000,5,24.640121,96.000000,,,,,,,,,,,,,,,
1732415050593,00002,1,0,0,3,2,33.000313,113.000000,4,29.138726,105.000000,2,28.038993,103.000000,5,24.109511,95.000000,,,,,,,,,,,,,,,
1732415050693,00002,1,0,0,3,2,31.156074,109.000000,4,28.235901,103.000000,2,25.630341,98.000000,5,25.109455,97.000000,,,,,,,,,,,,,,,
1732415050793,00002,1,0,0,3,2,31.998499,111.000000,4,26.698896,100.000000,2,25.374665,98.000000,5,21.785474,90.000000,,,,,,,,,,,,,,,
1732415050893,00002,1,0,0,3,2,31.989386,111.000000,4,29.566867,106.000000,2,25.600075,98.000000,5,25.277615,97.000000,,,,,,,,,,,,,,,
1732415050993,00002,1,0,0,3,2,31.582947,110.000000,4,29.571924,106.000000,2,27.289798,101.000000,5,23.813464,94.000000,,,,,,,,,,,,,,,
1732415051093,00002,1,0,0,3,2,29.781136,106.000000,4,27.381306,102.000000,2,25.439931,98.000000,5,23.135989,93.000000,,,,,,,,,,,,,,,
1732415051193,00002,1,0,0,3,2,31.772360,110.000000,4,28.610149,104.000000,2,27.075652,101.000000,5,23.791261,94.000000,,,,,,,,,,,,,,,
1732415051293,00002,1,0,0,3,2,32.138996,111.000000,4,28.435168,104.000000,2,26.218086,99.000000,5,25.257428,97.000000,,,,,,,,,,,,,,,
1732415051393,00002,1,0,0,3,2,33.409046,114.000000,4,28.115268,103.000000,2,25.684763,98.000000,5,23.138372,93.000000,,,,,,,,,,,,,,,
1732415051493,00002,1,0,0,3,2,31.372010,110.000000,4,29.612390,106.000000,2,27.211366,101.000000,5,23.436867,94.000000,,,,,,,,,,,,,,,
1732415051593,00002,1,0,0,3,2,31.441317,110.000000,4,27.408723,102.000000,2,27.363503,102.000000,5,25.280715,97.000000,,,,,,,,,,,,,,,
1732415051693,00002,1,0,0,3,2,33.327012,114.000000,4,29.234189,105.000000,2,27.129195,101.000000,5,22.869926,92.000000,,,,,,,,,,,,,,,
1732415051793,00002,1,0,0,3,2,31.210275,109.000000,2,28.122204,103.000000,4,27.072063,101.000000,5,25.264466,97.000000,,,,,,,,,,,,,,,
1732415051893,00002,1,0,0,3,2,32.779732,112.000000,4,28.819760,104.000000,2,24.768005,96.000000,5,23.800238,94.000000,,,,,,,,,,,,,,,
1732415051993,00002,1,0,0,3,2,30.687864,108.000000,4,28.417572,104.000000,2,27.194290,101.000000,5,24.182068,95.000000,,,,,,,,,,,,,,,
1732415052093,00002,1,0,0,3,2,32.288383,111.000000,4,28.616696,104.000000,2,27.116975,101.000000,5,23.392782,94.000000,,,,,,,,,,,,,,,
1732415052193,00002,1,0,0,3,2,30.817234,108.000000,4,27.764866,102.000000,2,25.850703,98.000000,5,24.302811,95.000000,,,,,,,,,,,,,,,
1732415052293,00002,1,0,0,3,2,31.928689,111.000000,4,27.497071,102.000000,5,25.552095,98.000000,2,23.853843,94.000000,,,,,,,,,,,,,,,
1732415052393,00002,1,0,0,3,2,32.653273,112.000000,4,27.677569,102.000000,5,25.741991,98.000000,2,25.476686,98.000000,,,,,,,,,,,,,,,
1732415052493,00002,1,0,0,3,2,29.659868,106.000000,4,30.070893,107.000000,2,25.182400,97.000000,5,24.769468,96.000000,,,,,,,,,,,,,,,
1732415052593,00002,1,0,0,3,2,33.831620,115.000000,4,29.484014,106.000000,2,28.423507,104.000000,5,24.117482,95.000000,,,,,,,,,,,,,,,
1732415052693,00002,1,0,0,3,2,31.468479,110.000000,4,28.068571,103.000000,2,26.228447,99.000000,5,22.903434,93.000000,,,,,,,,,,,,,,,
1732415052793,00002,1,0,0,3,2,32.884145,113.000000,4,30.800429,108.000000,5,24.831991,96.000000,2,23.902781,95.000000,,,,,,,,,,,,,,,
1732415052893,00002,1,0,0,3,2,32.443097,112.000000,4,30.089257,107.000000,5,24.816889,96.000000,2,22.604078,92.000000,,,,,,,,,,,,,,,
1732415052993,00002,1,0,0,3,2,32.811195,113.000000,4,29.552509,106.000000,2,25.345467,97.000000,5,25.120742,97.000000,,,,,,,,,,,,,,,
1732415053093,00002,1,0,0,3,2,32.615986,112.000000,4,27.502945,102.000000,5,25.652066,98.000000,2,25.644707,98.000000,,,,,,,,,,,,,,,
1732415053193,00002,1,0,0,3,2,31.977157,111.000000,4,29.006071,105.000000,5,26.721858,100.000000,2,24.621259,96.000000,,,,,,,,,,,,,,,
1732415053293,00002,1,0,0,3,2,31.350605,110.000000,2,25.615944,98.000000,4,24.937398,97.000000,5,24.817469,96.000000,,,,,,,,,,,,,,,
1732415053393,00002,1,0,0,3,2,31.962355,111.000000,4,28.793966,104.000000,2,25.274501,97.000000,5,24.581459,96.000000,,,,,,,,,,,,,,,
1732415053493,00002,1,0,0,3,2,32.007438,111.000000,4,28.300885,103.000000,2,24.459110,96.000000,5,24.022274,95.000000,,,,,,,,,,,,,,,
1732415053593,00002,1,0,0,3,2,34.439676,116.000000,2,25.836781,98.000000,4,25.759703,98.000000,5,25.476326,98.000000,,,,,,,,,,,,,,,
1732415053693,00002,1,0,0,3,2,31.892902,111.000000,4,28.997408,105.000000,2,26.697474,100.000000,5,24.292398,95.000000,,,,,,,,,,,,,,,
1732415053793,00002,1,0,0,3,2,32.447234,112.000000,4,28.720857,104.000000,2,24.749185,96.000000,5,21.797334,90.000000,,,,,,,,,,,,,,,
1732415053893,00002,1,0,0,3,2,32.987027,113.000000,4,27.169067,101.000000,2,25.854964,98.000000,5,25.388876,98.000000,,,,,,,,,,,,,,,
1732415053993,00002,1,0,0,3,2,32.707915,112.000000,4,26.847093,100.000000,2,26.683773,100.000000,5,25.445203,98.000000,,,,,,,,,,,,,,,
1732415054093,00002,1,0,0,3,2,31.491588,110.000000,4,28.660884,104.000000,2,25.955792,99.000000,5,22.498967,92.000000,,,,,,,,,,,,,,,
