timestamp,ueImsiComplete,DRB.PdcpSduDelayDl (cellAverageLatency),m_pDCPBytesUL (0),m_pDCPBytesDL (cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID (txBytes),Tot.PdcpSduNbrDl.UEID (txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID (pdcpLatency),QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1732415048158,00001,,,,,,,,6099.360000,582
1732415048258,00001,,,,,,,,2096.000000,200
1732415048358,00001,,,,,,,,2096.000000,200
1732415048458,00001,,,,,,,,2096.000000,200
1732415048558,00001,,,,,,,,2096.000000,200
1732415048658,00001,,,,,,,,2096.000000,200
1732415048758,00001,,,,,,,,2096.000000,200
1732415048858,00001,,,,,,,,2096.000000,200
1732415048958,00001,,,,,,,,2096.000000,200
1732415049058,00001,,,,,,,,2096.000000,200
1732415049158,00001,,,,,,,,2096.000000,200
1732415049258,00001,,,,,,,,2096.000000,200
1732415049358,00001,,,,,,,,2096.000000,200
1732415049458,00001,,,,,,,,2096.000000,200
1732415049558,00001,,,,,,,,2096.000000,200
1732415049658,00001,,,,,,,,2096.000000,200
1732415049758,00001,,,,,,,,2096.000000,200
1732415049858,00001,,,,,,,,2096.000000,200
1732415049958,00001,,,,,,,,2096.000000,200
1732415050058,00001,,,,,,,,2096.000000,200
1732415050158,00001,,,,,,,,2096.000000,200
1732415050258,00001,,,,,,,,2096.000000,200
1732415050358,00001,,,,,,,,2096.000000,200
1732415050458,00001,,,,,,,,2096.000000,200
1732415050558,00001,,,,,,,,2096.000000,200
1732415050658,00001,,,,,,,,2096.000000,200
1732415050758,00001,,,,,,,,2096.000000,200
1732415050858,00001,,,,,,,,2096.000000,200
1732415050958,00001,,,,,,,,2096.000000,200
1732415051058,00001,,,,,,,,2096.000000,200
1732415051158,00001,,,,,,,,2096.000000,200
1732415051258,00001,,,,,,,,2096.000000,200
1732415051358,00001,,,,,,,,2096.000000,200
1732415051458,00001,,,,,,,,2096.000000,200
1732415051558,00001,,,,,,,,2096.000000,200
1732415051658,00001,,,,,,,,2096.000000,200
1732415051758,00001,,,,,,,,2096.000000,200
1732415051858,00001,,,,,,,,2096.000000,200
1732415051958,00001,,,,,,,,2096.000000,200
1732415052058,00001,,,,,,,,2096.000000,200
1732415052158,00001,,,,,,,,2096.000000,200
1732415052258,00001,,,,,,,,2096.000000,200
1732415052358,00001,,,,,,,,2096.000000,200
1732415052458,00001,,,,,,,,2096.000000,200
1732415052558,00001,,,,,,,,2096.000000,200
1732415052658,00001,,,,,,,,2096.000000,200
1732415052758,00001,,,,,,,,2096.000000,200
1732415052858,00001,,,,,,,,2096.000000,200
1732415052958,00001,,,,,,,,2096.000000,200
1732415053058,00001,,,,,,,,2096.000000,200
1732415053158,00001,,,,,,,,2096.000000,200
1732415053258,00001,,,,,,,,2096.000000,200
1732415053358,00001,,,,,,,,2096.000000,200
1732415053458,00001,,,,,,,,2096.000000,200
1732415053558,00001,,,,,,,,2096.000000,200
1732415053658,00001,,,,,,,,2096.000000,200
1732415053758,00001,,,,,,,,2096.000000,200
1732415053858,00001,,,,,,,,2096.000000,200
1732415053958,00001,,,,,,,,2096.000000,200
1732415054058,00001,,,,,,,,2096.000000,200
1732415054158,00001,,,,,,,,2096.000000,200
1732415054258,00001,,,,,,,,2096.000000,200
1732415054358,00001,,,,,,,,2096.000000,200
1732415054458,00001,,,,,,,,2096.000000,200
1732415054558,00001,,,,,,,,2096.000000,200
1732415054658,00001,,,,,,,,2096.000000,200
1732415054758,00001,,,,,,,,2096.000000,200
1732415054858,00001,,,,,,,,2096.000000,200
1732415054958,00001,,,,,,,,2096.000000,200
1732415055058,00001,,,,,,,,2096.000000,200
1732415055158,00001,,,,,,,,2096.000000,200
1732415055258,00001,,,,,,,,2096.000000,200
1732415055358,00001,,,,,,,,2096.000000,200
1732415055458,00001,,,,,,,,2096.000000,200
1732415055558,00001,,,,,,,,2096.000000,200
1732415055658,00001,,,,,,,,2096.000000,200
1732415055758,00001,,,,,,,,2096.000000,200
1732415055858,00001,,,,,,,,2096.000000,200
