timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46, L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID, L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID, DRB.UEThpDlPdcpBased.UEID
1732415048158,00001,111,5,139,139,1,17,0,582,582,3,0,579,25,0,860503,3,0,0,0,0,579,0,0,0,0,0,0,582,1310,1,582,582,3,0,579,0,860503,25.246939,3,0,0,0,0,579,0,0,0,0,0,0,582,1310,14069.000000,60783.000000
1732415048258,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14084.000000,20960.000000
1732415048358,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14093.000000,20960.000000
1732415048458,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14099.000000,20960.000000
1732415048558,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14103.000000,20960.000000
1732415048658,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14107.000000,20960.000000
1732415048758,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14129.000000,524.000000
1732415048858,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14129.000000,20960.000000
1732415048958,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14129.000000,20960.000000
1732415049058,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14129.000000,20960.000000
1732415049158,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14129.000000,20960.000000
1732415049258,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14129.000000,20960.000000
1732415049358,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14129.000000,20960.000000
1732415049458,00001,111,5,139,139,1,24,0,200,200,0,0,200,34,0,296800,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,1,200,200,0,0,200,0,296800,34.750000,0,0,0,0,0,200,0,0,0,0,0,0,200,1310,14129.000000,20960.000000
