% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	0	1	5324.57	0
0.322	1	0	2	5324.57	0
0.323	1	0	3	5324.57	0
0.324	1	0	4	4769.72	0
0.641	1	0	1	5324.57	0
0.642	1	0	2	5324.57	0
0.643	1	0	3	5324.57	0
0.644	1	0	4	4769.72	0
0.961	1	0	1	5324.57	0
0.962	1	0	2	5324.57	0
0.963	1	0	3	5324.57	0
0.964	1	0	4	4769.72	0
1.281	1	0	1	5324.57	0
1.282	1	0	2	5324.57	0
1.283	1	0	3	5324.57	0
1.284	1	0	4	4769.72	0
1.601	1	0	1	5324.57	0
1.602	1	0	2	5324.57	0
1.603	1	0	3	5324.57	0
1.604	1	0	4	4769.72	0
1.921	1	0	1	5324.57	0
1.922	1	0	2	5324.57	0
1.923	1	0	3	5324.57	0
1.924	1	0	4	4769.72	0
2.241	1	0	1	5324.57	0
2.242	1	0	2	5324.57	0
2.243	1	0	3	5324.57	0
2.244	1	0	4	4769.72	0
2.561	1	0	1	5324.57	0
2.562	1	0	2	5324.57	0
2.563	1	0	3	5324.57	0
2.564	1	0	4	4769.72	0
2.881	1	0	1	5324.57	0
2.882	1	0	2	5324.57	0
2.883	1	0	3	5324.57	0
2.884	1	0	4	4769.72	0
3.201	1	0	1	5324.57	0
3.202	1	0	2	5324.57	0
3.203	1	0	3	5324.57	0
3.204	1	0	4	4769.72	0
3.521	1	0	1	5324.57	0
3.522	1	0	2	5324.57	0
3.523	1	0	3	5324.57	0
3.524	1	0	4	4769.72	0
3.841	1	0	1	5324.57	0
3.842	1	0	2	5324.57	0
3.843	1	0	3	5324.57	0
3.844	1	0	4	4769.72	0
4.161	1	0	1	5324.57	0
4.162	1	0	2	5324.57	0
4.163	1	0	3	5324.57	0
4.164	1	0	4	4769.72	0
4.481	1	0	1	5324.57	0
4.482	1	0	2	5324.57	0
4.483	1	0	3	5324.57	0
4.484	1	0	4	4769.72	0
4.801	1	0	1	5324.57	0
4.802	1	0	2	5324.57	0
4.803	1	0	3	5324.57	0
4.804	1	0	4	4769.72	0
5.121	1	0	1	5324.57	0
5.122	1	0	2	5324.57	0
5.123	1	0	3	5324.57	0
5.124	1	0	4	4769.72	0
5.441	1	0	1	5324.57	0
5.442	1	0	2	5324.57	0
5.443	1	0	3	5324.57	0
5.444	1	0	4	4769.72	0
5.761	1	0	1	5324.57	0
5.762	1	0	2	5324.57	0
5.763	1	0	3	5324.57	0
5.764	1	0	4	4769.72	0
6.081	1	0	1	5324.57	0
6.082	1	0	2	5324.57	0
6.083	1	0	3	5324.57	0
6.084	1	0	4	4769.72	0
6.401	1	0	1	5324.57	0
6.402	1	0	2	5324.57	0
6.403	1	0	3	5324.57	0
6.404	1	0	4	4769.72	0
6.721	1	0	1	5324.57	0
6.722	1	0	2	5324.57	0
6.723	1	0	3	5324.57	0
6.724	1	0	4	4769.72	0
