timestamp,ueImsiComplete,numActiveUes,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1732451190844,00004,1,0,0,5,4,44.624535,127.000000,2,30.940474,109.000000,4,24.345159,95.000000,3,15.981166,79.000000,,,,,,,,,,,,,,,
1732451190944,00004,1,0,0,5,4,48.972619,127.000000,2,30.528121,108.000000,4,21.808834,90.000000,3,16.980618,81.000000,,,,,,,,,,,,,,,
1732451191044,00004,1,0,0,5,4,47.144426,127.000000,2,29.903426,107.000000,4,19.172976,85.000000,3,16.001599,79.000000,,,,,,,,,,,,,,,
1732451191144,00004,1,0,0,5,4,51.827758,127.000000,2,29.622683,106.000000,4,22.331346,91.000000,3,16.200986,79.000000,,,,,,,,,,,,,,,
1732451191244,00004,1,0,0,5,4,49.179285,127.000000,2,30.504857,108.000000,4,21.930658,91.000000,3,16.248166,79.000000,,,,,,,,,,,,,,,
1732451191344,00004,1,0,0,5,4,50.431766,127.000000,2,29.934967,107.000000,4,20.410311,88.000000,3,14.932271,76.000000,,,,,,,,,,,,,,,
1732451191444,00004,1,0,0,5,4,48.340569,127.000000,2,30.540720,108.000000,4,20.376304,87.000000,3,15.602403,78.000000,,,,,,,,,,,,,,,
1732451191544,00004,1,0,0,5,4,50.089782,127.000000,2,30.899946,109.000000,4,22.912593,93.000000,3,15.652930,78.000000,,,,,,,,,,,,,,,
1732451191644,00004,1,0,0,5,4,50.302831,127.000000,2,31.879041,111.000000,4,22.538321,92.000000,3,16.380354,79.000000,,,,,,,,,,,,,,,
1732451191744,00004,1,0,0,5,4,50.766373,127.000000,2,30.906706,109.000000,4,21.599388,90.000000,3,14.685929,76.000000,,,,,,,,,,,,,,,
1732451191844,00004,1,0,0,5,4,47.601059,127.000000,2,31.428040,110.000000,4,22.130964,91.000000,3,17.192435,81.000000,,,,,,,,,,,,,,,
1732451191944,00004,1,0,0,5,4,49.329638,127.000000,2,26.189134,99.000000,4,21.216862,89.000000,3,14.173001,75.000000,,,,,,,,,,,,,,,
1732451192044,00004,1,0,0,5,4,44.887745,127.000000,2,28.386836,104.000000,4,22.425124,92.000000,3,17.187739,81.000000,,,,,,,,,,,,,,,
1732451192144,00004,1,0,0,5,4,48.272604,127.000000,2,30.271893,107.000000,4,22.244649,91.000000,3,16.914301,80.000000,,,,,,,,,,,,,,,
1732451192244,00004,1,0,0,5,4,49.101471,127.000000,2,33.435006,114.000000,4,22.766119,92.000000,3,15.148816,77.000000,,,,,,,,,,,,,,,
