timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46, L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID, L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID, DRB.UEThpDlPdcpBased.UEID
1732451190844,00001,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1732451190944,00001,111,4,139,139,1,32,0,216,180,3,0,213,45,36,280075,3,0,0,0,192,21,0,0,0,0,194,18,4,820,1,216,180,3,0,213,36,280075,45.770714,3,0,0,0,192,21,0,0,0,0,194,18,4,820,11632.000000,12052.000000
1732451191044,00001,111,4,139,139,1,36,0,242,201,0,0,242,51,41,326252,0,0,0,0,216,26,0,0,0,0,215,27,0,0,1,242,201,0,0,242,41,326252,51.827143,0,0,0,0,216,26,0,0,0,0,215,27,0,0,11636.000000,20540.000000
1732451191144,00001,111,4,139,139,1,31,0,200,200,0,0,200,44,0,269692,0,0,0,0,200,0,0,0,0,0,200,0,0,0,1,200,200,0,0,200,0,269692,44.777857,0,0,0,0,200,0,0,0,0,0,200,0,0,0,12224.000000,20960.000000
1732451191244,00001,111,4,139,139,1,39,0,204,200,0,0,204,55,4,283706,0,0,0,0,204,0,0,0,0,0,202,1,1,0,1,204,200,0,0,204,4,283706,55.004286,0,0,0,0,204,0,0,0,0,0,202,1,1,0,12353.000000,20750.000000
1732451191344,00001,111,4,139,139,1,31,0,200,200,0,0,200,44,0,269692,0,0,0,0,200,0,0,0,0,0,200,0,0,0,1,200,200,0,0,200,0,269692,44.777857,0,0,0,0,200,0,0,0,0,0,200,0,0,0,12568.000000,20960.000000
1732451191444,00001,111,4,139,139,1,39,0,204,200,0,0,204,55,4,283938,0,0,0,0,204,0,0,0,0,0,204,0,0,0,1,204,200,0,0,204,4,283938,55.451071,0,0,0,0,204,0,0,0,0,0,204,0,0,0,12608.000000,20855.000000
1732451191544,00001,111,4,139,139,1,38,0,200,200,0,0,200,54,0,278800,0,0,0,0,200,0,0,0,0,0,200,0,0,0,1,200,200,0,0,200,0,278800,54.607143,0,0,0,0,200,0,0,0,0,0,200,0,0,0,12648.000000,20960.000000
1732451191644,00001,111,4,139,139,1,43,0,237,200,0,0,237,61,37,328300,0,0,0,0,232,5,0,0,0,0,198,26,13,0,1,237,200,0,0,237,37,328300,61.433036,0,0,0,0,232,5,0,0,0,0,198,26,13,0,12474.000000,16139.000000
1732451191744,00001,111,4,139,139,1,31,0,200,200,0,0,200,44,0,269692,0,0,0,0,200,0,0,0,0,0,200,0,0,0,1,200,200,0,0,200,0,269692,44.777857,0,0,0,0,200,0,0,0,0,0,200,0,0,0,13481.000000,104.000000
