0.0005,1 73,282
0.0005,2 152,232
0.0005,3 159,195
0.0005,4 117,54
0.001,1 73,282
0.001,2 152,232
0.001,3 159,195
0.001,4 117,54
0.0015,1 73,282
0.0015,2 152,232
0.0015,3 159,195
0.0015,4 117,54
0.002,1 73,282
0.002,2 152,232
0.002,3 159,195
0.002,4 117,54
0.0025,1 73,282
0.0025,2 152,232
0.0025,3 159,195
0.0025,4 117,54
0.003,1 73,282
0.003,2 152,232
0.003,3 159,195
0.003,4 117,54
0.0035,1 73,282
0.0035,2 152,232
0.0035,3 159,195
0.0035,4 117,54
0.004,1 73,282
0.004,2 152,232
0.004,3 159,195
0.004,4 117,54
0.0045,1 73,282
0.0045,2 152,232
0.0045,3 159,195
0.0045,4 117,54
0.005,1 73,282
0.005,2 152,232
0.005,3 159,195
0.005,4 117,54
0.0055,1 73,282
0.0055,2 152,232
0.0055,3 159,195
0.0055,4 117,54
0.006,1 73,282
0.006,2 152,232
0.006,3 159,195
0.006,4 117,54
0.0065,1 73,282
0.0065,2 152,232
0.0065,3 159,195
0.0065,4 117,54
0.007,1 73,282
0.007,2 152,232
0.007,3 159,195
0.007,4 117,54
0.0075,1 73,282
0.0075,2 152,232
0.0075,3 159,195
0.0075,4 117,54
0.008,1 73,282
0.008,2 152,232
0.008,3 159,195
0.008,4 117,54
0.0085,1 73,282
0.0085,2 152,232
0.0085,3 159,195
0.0085,4 117,54
0.009,1 73,282
0.009,2 152,232
0.009,3 159,195
0.009,4 117,54
0.0095,1 73,282
0.0095,2 152,232
0.0095,3 159,195
0.0095,4 117,54
0.01,1 73,282
0.01,2 152,232
0.01,3 159,195
0.01,4 117,54
0.0105,1 73,282
0.0105,2 152,232
0.0105,3 159,195
0.0105,4 117,54
0.011,1 73,282
0.011,2 152,232
0.011,3 159,195
0.011,4 117,54
0.0115,1 73,282
0.0115,2 152,232
0.0115,3 159,195
0.0115,4 117,54
0.012,1 73,282
0.012,2 152,232
0.012,3 159,195
0.012,4 117,54
0.0125,1 73,282
0.0125,2 152,232
0.0125,3 159,195
0.0125,4 117,54
0.013,1 73,282
0.013,2 152,232
0.013,3 159,195
0.013,4 117,54
0.0135,1 73,282
0.0135,2 152,232
0.0135,3 159,195
0.0135,4 117,54
0.014,1 73,282
0.014,2 152,232
0.014,3 159,195
0.014,4 117,54
0.0145,1 73,282
0.0145,2 152,232
0.0145,3 159,195
0.0145,4 117,54
0.015,1 73,282
0.015,2 152,232
0.015,3 159,195
0.015,4 117,54
0.0155,1 73,282
0.0155,2 152,232
0.0155,3 159,195
0.0155,4 117,54
0.016,1 73,282
0.016,2 152,232
0.016,3 159,195
0.016,4 117,54
0.0165,1 73,282
0.0165,2 152,232
0.0165,3 159,195
0.0165,4 117,54
0.017,1 73,282
0.017,2 152,232
0.017,3 159,195
0.017,4 117,54
0.0175,1 73,282
0.0175,2 152,232
0.0175,3 159,195
0.0175,4 117,54
0.018,1 73,282
0.018,2 152,232
0.018,3 159,195
0.018,4 117,54
0.0185,1 73,282
0.0185,2 152,232
0.0185,3 159,195
0.0185,4 117,54
0.019,1 73,282
0.019,2 152,232
0.019,3 159,195
0.019,4 117,54
0.0195,1 73,282
0.0195,2 152,232
0.0195,3 159,195
0.0195,4 117,54
