% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	0	1	5324.57	0
0.322	1	0	2	5324.57	0
0.323	1	0	3	4392.26	0
0.324	1	0	4	3997.94	0
0.325	1	0	5	5324.57	0
0.326	1	0	6	3204.58	0
0.327	1	0	7	5324.57	0
0.328	1	0	8	5324.57	0
0.329	1	0	9	4393.98	0
0.33	1	0	10	4044.21	0
0.331	1	0	11	5324.57	0
0.332	1	0	12	4942.32	0
0.641	1	0	1	5324.57	0
0.642	1	0	2	5324.57	0
0.643	1	0	3	4392.26	0
0.644	1	0	4	3997.94	0
0.645	1	0	5	5324.57	0
0.646	1	0	6	3204.58	0
0.647	1	0	7	5324.57	0
0.648	1	0	8	5324.57	0
0.649	1	0	9	4393.98	0
0.65	1	0	10	4044.21	0
0.651	1	0	11	5324.57	0
0.652	1	0	12	4942.32	0
0.961	1	0	1	5324.57	0
0.962	1	0	2	5324.57	0
0.963	1	0	3	4392.26	0
0.964	1	0	4	3997.94	0
0.965	1	0	5	5324.57	0
0.966	1	0	6	3204.58	0
0.967	1	0	7	5324.57	0
0.968	1	0	8	5324.57	0
0.969	1	0	9	4393.98	0
0.97	1	0	10	4044.21	0
0.971	1	0	11	5324.57	0
0.972	1	0	12	4942.32	0
1.281	1	0	1	5324.57	0
1.282	1	0	2	5324.57	0
1.283	1	0	3	4392.26	0
1.284	1	0	4	3997.94	0
1.285	1	0	5	5324.57	0
1.286	1	0	6	3204.58	0
1.287	1	0	7	5324.57	0
1.288	1	0	8	5324.57	0
1.289	1	0	9	4393.98	0
1.29	1	0	10	4044.21	0
1.291	1	0	11	5324.57	0
1.292	1	0	12	4942.32	0
1.601	1	0	1	5324.57	0
1.602	1	0	2	5324.57	0
1.603	1	0	3	4392.26	0
1.604	1	0	4	3997.94	0
1.605	1	0	5	5324.57	0
1.606	1	0	6	3204.58	0
1.607	1	0	7	5324.57	0
1.608	1	0	8	5324.57	0
1.609	1	0	9	4393.98	0
1.61	1	0	10	4044.21	0
1.611	1	0	11	5324.57	0
1.612	1	0	12	4942.32	0
1.921	1	0	1	5324.57	0
1.922	1	0	2	5324.57	0
1.923	1	0	3	4392.26	0
1.924	1	0	4	3997.94	0
1.925	1	0	5	5324.57	0
1.926	1	0	6	3204.58	0
1.927	1	0	7	5324.57	0
