timestamp,ueImsiComplete,DRB.PdcpSduDelayDl (cellAverageLatency),m_pDCPBytesUL (0),m_pDCPBytesDL (cellDlTxVolume),DRB.PdcpSduVolumeDl_Filter.UEID (txBytes),Tot.PdcpSduNbrDl.UEID (txDlPackets),DRB.PdcpSduBitRateDl.UEID(pdcpThroughput),DRB.PdcpSduDelayDl.UEID (pdcpLatency),QosFlow.PdcpPduVolumeDL_Filter.UEID(txPdcpPduBytesNrRlc),DRB.PdcpPduNbrDl.Qos.UEID (txPdcpPduNrRlc)
1732474826947,00004,,,,,,,,0.000000,0
1732474826947,00011,,,,,,,,0.000000,0
1732474827047,00004,,,,,,,,1854.960000,177
1732474827047,00011,,,,,,,,1854.960000,177
1732474827147,00004,,,,,,,,2096.000000,200
1732474827147,00011,,,,,,,,2096.000000,200
1732474827247,00004,,,,,,,,2096.000000,200
1732474827247,00011,,,,,,,,2096.000000,200
1732474827247,00006,,,,,,,,6046.960000,577
1732474827347,00004,,,,,,,,2096.000000,200
1732474827347,00011,,,,,,,,2096.000000,200
1732474827347,00006,,,,,,,,2096.000000,200
1732474827447,00004,,,,,,,,2096.000000,200
1732474827447,00011,,,,,,,,2096.000000,200
1732474827447,00006,,,,,,,,2096.000000,200
1732474827547,00004,,,,,,,,2096.000000,200
1732474827547,00011,,,,,,,,2096.000000,200
1732474827547,00006,,,,,,,,2096.000000,200
1732474827647,00004,,,,,,,,2096.000000,200
1732474827647,00011,,,,,,,,2096.000000,200
1732474827647,00006,,,,,,,,2096.000000,200
1732474827647,00010,,,,,,,,14430.960000,1377
1732474827747,00004,,,,,,,,2096.000000,200
1732474827747,00011,,,,,,,,2096.000000,200
1732474827747,00006,,,,,,,,2096.000000,200
1732474827747,00010,,,,,,,,2096.000000,200
1732474827847,00004,,,,,,,,2096.000000,200
1732474827847,00011,,,,,,,,2096.000000,200
1732474827847,00006,,,,,,,,2096.000000,200
1732474827847,00010,,,,,,,,2096.000000,200
1732474827947,00004,,,,,,,,2096.000000,200
1732474827947,00011,,,,,,,,2096.000000,200
1732474827947,00006,,,,,,,,2096.000000,200
1732474827947,00010,,,,,,,,2096.000000,200
1732474828047,00004,,,,,,,,2096.000000,200
1732474828047,00011,,,,,,,,2096.000000,200
1732474828047,00010,,,,,,,,2096.000000,200
1732474828147,00004,,,,,,,,2096.000000,200
1732474828147,00011,,,,,,,,2096.000000,200
1732474828247,00004,,,,,,,,2096.000000,200
1732474828247,00011,,,,,,,,2096.000000,200
1732474828247,00006,,,,,,,,19513.760000,1862
1732474828347,00004,,,,,,,,2096.000000,200
1732474828347,00011,,,,,,,,2096.000000,200
1732474828347,00006,,,,,,,,2096.000000,200
1732474828447,00004,,,,,,,,2096.000000,200
1732474828447,00011,,,,,,,,2096.000000,200
1732474828447,00006,,,,,,,,2096.000000,200
1732474828547,00004,,,,,,,,2096.000000,200
1732474828547,00011,,,,,,,,2096.000000,200
1732474828547,00006,,,,,,,,2096.000000,200
1732474828647,00004,,,,,,,,2096.000000,200
1732474828647,00011,,,,,,,,2096.000000,200
1732474828747,00004,,,,,,,,2096.000000,200
1732474828747,00011,,,,,,,,2096.000000,200
1732474828847,00004,,,,,,,,2096.000000,200
1732474828847,00011,,,,,,,,2096.000000,200
1732474828947,00004,,,,,,,,2096.000000,200
1732474828947,00011,,,,,,,,2096.000000,200
1732474829047,00004,,,,,,,,2096.000000,200
1732474829047,00011,,,,,,,,2096.000000,200
1732474829047,00006,,,,,,,,32278.400000,3080
1732474829147,00004,,,,,,,,2096.000000,200
1732474829147,00011,,,,,,,,2096.000000,200
1732474829147,00006,,,,,,,,2096.000000,200
1732474829247,00004,,,,,,,,2096.000000,200
1732474829247,00011,,,,,,,,2096.000000,200
1732474829347,00004,,,,,,,,2096.000000,200
1732474829347,00011,,,,,,,,2096.000000,200
1732474829447,00004,,,,,,,,2096.000000,200
1732474829447,00011,,,,,,,,2096.000000,200
1732474829447,00006,,,,,,,,38922.720000,3714
1732474829547,00004,,,,,,,,2096.000000,200
1732474829547,00011,,,,,,,,2096.000000,200
1732474829547,00006,,,,,,,,2096.000000,200
1732474829647,00004,,,,,,,,2096.000000,200
1732474829647,00011,,,,,,,,2096.000000,200
1732474829647,00006,,,,,,,,2096.000000,200
1732474829747,00004,,,,,,,,2096.000000,200
1732474829747,00011,,,,,,,,2096.000000,200
1732474829747,00006,,,,,,,,2096.000000,200
1732474829847,00004,,,,,,,,2096.000000,200
1732474829847,00011,,,,,,,,2096.000000,200
1732474829847,00010,,,,,,,,51886.480000,4951
1732474829947,00004,,,,,,,,2096.000000,200
1732474829947,00011,,,,,,,,2096.000000,200
1732474829947,00010,,,,,,,,2096.000000,200
1732474830047,00004,,,,,,,,2096.000000,200
1732474830047,00011,,,,,,,,2096.000000,200
1732474830147,00004,,,,,,,,2096.000000,200
1732474830147,00011,,,,,,,,2096.000000,200
1732474830247,00004,,,,,,,,2096.000000,200
1732474830247,00011,,,,,,,,2096.000000,200
1732474830347,00004,,,,,,,,2096.000000,200
1732474830347,00011,,,,,,,,2096.000000,200
1732474830447,00004,,,,,,,,2096.000000,200
1732474830447,00011,,,,,,,,2096.000000,200
1732474830447,00006,,,,,,,,55302.960000,5277
1732474830547,00004,,,,,,,,2096.000000,200
1732474830547,00011,,,,,,,,2096.000000,200
1732474830547,00006,,,,,,,,2096.000000,200
