timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46, L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID, L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID, DRB.UEThpDlPdcpBased.UEID
1732477770366,00011,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1732477770466,00011,111,3,139,139,1,22,0,178,178,3,0,175,31,0,260967,3,0,0,0,0,175,0,0,0,0,0,177,1,0,1,178,178,3,0,175,0,260967,31.423929,3,0,0,0,0,175,0,0,0,0,0,177,1,0,13933.000000,18444.000000
1732477770566,00011,111,3,139,139,1,33,0,454,411,142,39,273,46,43,333233,3,139,39,0,0,273,0,1,146,34,0,1,272,438826,2,273,273,0,0,273,0,292335,34.253571,0,0,0,0,0,273,0,0,0,0,0,1,272,43,11785.000000,20855.000000
1732477770566,00004,111,3,139,139,1,33,0,454,411,142,39,273,46,43,333233,3,139,39,0,0,273,0,1,146,34,0,1,272,438826,2,181,138,142,39,0,43,40898,12.026622,3,139,39,0,0,0,0,1,146,34,0,0,0,438783,734.000000,733.000000
1732477770666,00011,111,3,139,139,1,83,0,800,685,325,112,363,116,115,387218,0,325,112,0,0,363,0,296,89,52,0,312,51,635833,2,363,363,0,0,363,0,287190,33.682679,0,0,0,0,0,363,0,0,0,0,0,312,51,43,10038.000000,20960.000000
1732477770666,00004,111,3,139,139,1,83,0,800,685,325,112,363,116,115,387218,0,325,112,0,0,363,0,296,89,52,0,312,51,635833,2,437,322,325,112,0,115,100028,83.573750,0,325,112,0,0,0,0,296,89,52,0,0,0,635790,1103.000000,3877.000000
1732477770766,00011,111,3,139,139,1,84,0,800,683,334,98,368,117,117,364599,255,79,98,0,0,368,0,361,65,6,0,0,368,850650,2,368,368,0,0,368,0,286322,33.583393,0,0,0,0,0,368,0,0,0,0,0,0,368,43,9322.000000,20960.000000
1732477770766,00004,111,3,139,139,1,84,0,800,683,334,98,368,117,117,364599,255,79,98,0,0,368,0,361,65,6,0,0,368,850650,2,432,315,334,98,0,117,78277,84.144643,255,79,98,0,0,0,0,361,65,6,0,0,0,850607,1137.000000,1571.000000
1732477770866,00011,111,3,139,139,1,84,0,800,668,346,90,364,117,132,336475,346,0,90,0,0,364,0,372,63,1,0,0,364,1085170,2,364,364,0,0,364,0,284216,33.335179,0,0,0,0,0,364,0,0,0,0,0,0,364,43,8954.000000,20855.000000
1732477770866,00004,111,3,139,139,1,84,0,800,668,346,90,364,117,132,336475,346,0,90,0,0,364,0,372,63,1,0,0,364,1085170,2,436,304,346,90,0,132,52259,84.591429,346,0,90,0,0,0,0,372,63,1,0,0,0,1085127,1040.000000,209.000000
